Dataset,Training,Encoding,Query,Precision,Recall,MAP
GIST,0.36190000000000005,0.55,0.2086607502270903
GLOVE,0.3617000000000001,0.32,0.16997510316390346
AUDIO,0.6992500000000001,0.715,0.5371958642342349
CIFAR,0.8359999999999992,0.895,0.7426150661548202
ENRON,0.24049999999999983,0.09,0.10951557908573195
IMAGENET,0.2835,0.265,0.11341783320845814
MNIST,0.301,0.35,0.15302942842009215
MSONG,0.9209999999999999,0.96,0.885963017675479
NOTRE,0.47250000000000036,0.525,0.2929923228076961
NUSW,0.8562499999999997,0.865,0.8482200185252913
SUN,0.89,0.95,0.8244413938905525
TREVI,0.9312499999999999,1.0,0.8973270484664546
UKBENCH,0.8595000000000003,0.92,0.8064834663036481
