Dataset,Training,Encoding,Query,Precision,Recall,MAP
GIST,0.317,0.83,0.09692807593994107
GLOVE,0.10179999999999993,1.0,0.04498281073192719
AUDIO,0.4299999999999999,0.835,0.1714528139129532
CIFAR,0.49150000000000005,0.865,0.2081458373551544
ENRON,0.7064999999999999,0.91,0.4355947624195982
IMAGENET,0.2719999999999999,0.63,0.0766792827979554
MNIST,0.0955000000000001,0.155,0.012419883961282949
MSONG,0.45774999999999977,0.735,0.19526248563635376
NOTRE,0.24249999999999994,0.49,0.05833491612124545
NUSW,0.5959999999999998,0.885,0.279602334345436
SUN,0.5587499999999997,0.97,0.2721271628440357
TREVI,0.42899999999999977,0.58,0.13910174984651577
UKBENCH,0.2674999999999999,0.445,0.0699830465597784
84.1349,33.0049,1.13053,1.55606,3.68996,6.21787,1176.49,57.9707,1.29955,1566.05,28.7545,9.12736,84.1498,33.3899,0.389655,1.63411,3.83095,2.118,1163.84,58.487,0.48692,1561.47,29.561,3.14695,
